date,year,p_down,fwd7,state,composite_smooth
2014-01-02,2014,0.4475724352008701,-0.5380526534564778,多頭,9.8
2014-01-03,2014,0.5076166393601389,0.018721026286638853,多頭,2.0
2014-01-06,2014,0.5002732906616054,1.206351521939375,多頭,-7.5
2014-01-07,2014,0.5168542232244508,1.1725385618458262,多頭,-11.7
2014-01-08,2014,0.5207551075021265,0.4673907580753145,多頭,-14.3
2014-01-09,2014,0.4762992971046474,1.255243884679147,多頭,-19.3
2014-01-10,2014,0.46899209809495235,0.8271439206973374,多頭,-16.4
2014-01-13,2014,0.4474590110888159,0.6899208517195277,多頭,-6.5
2014-01-14,2014,0.5188234594785134,0.5493592758190724,多頭,-0.8
2014-01-15,2014,0.494515287867529,-0.04928771120190634,多頭,7.2
2014-01-16,2014,0.47940041966158586,-1.736392126900388,多頭,6.1
2014-01-17,2014,0.40867269752960633,-3.8566775244299745,多頭,3.2
2014-01-20,2014,0.5002519761029556,-3.6020163404302585,多頭,-0.9
2014-01-21,2014,0.41634811514575115,-2.471540366748437,多頭,-3.9
2014-01-22,2014,0.4116702766375247,-2.7054131450500063,多頭,-6.5
2014-01-23,2014,0.3894076255327354,-1.914346546288015,多頭,-3.9
2014-01-24,2014,0.41674609193720646,-1.0169440273728014,多頭,-1.9
2014-01-27,2014,0.4100777753230139,0.0606198826125004,多頭,-4.4
2014-02-05,2014,0.5184397968998812,3.0153137281474507,盤整,-10.7
2014-02-06,2014,0.486850608945591,2.5092016493783342,盤整,-13.4
2014-02-07,2014,0.4766815040938209,2.0135084383029023,盤整,-15.2
2014-02-10,2014,0.5217946056948278,2.205208562968086,盤整,-14.4
2014-02-11,2014,0.5487929704660537,1.1157028714581463,多頭,-10.9
2014-02-12,2014,0.5532989835308636,1.069103393660109,多頭,-3.4
2014-02-13,2014,0.5414181520624687,1.0972282910353348,多頭,-0.5
2014-02-14,2014,0.49341327260801504,0.7275349789985119,多頭,2.4
2014-02-17,2014,0.4791041735407397,0.9543931310926235,多頭,2.5
2014-02-18,2014,0.5423457628059024,0.9741439863117263,多頭,1.1
2014-02-19,2014,0.4929122749367757,0.2911270944070177,多頭,-2.4
2014-02-20,2014,0.4687336735766089,0.3509833869427714,多頭,-5.3
2014-02-21,2014,0.4808824138052394,0.3612009495620683,多頭,-4.7
2014-02-24,2014,0.47878917860260967,1.7893584686138109,多頭,-5.8
2014-02-25,2014,0.50127835002467,1.6131778227113314,多頭,-7.1
2014-02-26,2014,0.5086244249022425,0.748529798182962,多頭,-5.3
2014-02-27,2014,0.49404728175534096,0.7263084548091436,多頭,-5.4
2014-03-03,2014,0.4542849773531691,0.9619878214085498,多頭,-11.1
2014-03-04,2014,0.5584592471404729,2.2590343840814375,多頭,-12.1
2014-03-05,2014,0.5153147236839579,0.6336203351585024,多頭,-6.1
2014-03-06,2014,0.4254058740279373,-0.1571072977430088,多頭,5.3
2014-03-07,2014,0.43057034050896964,0.20633558106764038,多頭,8.2
2014-03-10,2014,0.45357124725092557,0.27950754970433866,多頭,2.7
2014-03-11,2014,0.4444984760747114,-1.2065734119482974,多頭,2.3
2014-03-12,2014,0.4743814642874703,-1.23849561241397,多頭,-4.2
2014-03-13,2014,0.4482992020689404,-1.627954031818346,多頭,-3.4
2014-03-14,2014,0.4628642945106757,0.01922273393319962,多頭,-6.0
2014-03-17,2014,0.49594024243807605,0.4272364685463437,多頭,-6.7
2014-03-18,2014,0.5423651430635718,0.5454687045490347,多頭,-5.7
2014-03-19,2014,0.5102664209628152,0.9802680488776083,多頭,-6.4
2014-03-20,2014,0.46074389038761804,2.930560999752263,多頭,-10.0
2014-03-21,2014,0.37755787194872276,3.4507885468050503,多頭,-6.6
2014-03-24,2014,0.3886132092206689,3.487004641282554,多頭,-4.1
2014-03-25,2014,0.41446264216671425,2.2929349890094874,多頭,-1.8
2014-03-26,2014,0.39497827499319776,1.5928316281859312,多頭,2.7
2014-03-27,2014,0.4037689313586884,1.2378738366457531,多頭,6.5
2014-03-28,2014,0.47121343372704433,1.7770529617169517,多頭,11.0
2014-03-31,2014,0.4642040725138449,1.1167010197439708,多頭,20.0
2014-04-01,2014,0.5020922510359334,0.3933214247476835,多頭,23.3
2014-04-02,2014,0.4797823539856145,-0.5393326558455813,多頭,25.9
2014-04-03,2014,0.458713349130063,0.316924939303842,多頭,21.8
2014-04-07,2014,0.48832700176963373,0.5337725484541034,多頭,16.3
2014-04-08,2014,0.4914768718433227,0.6290327117261629,多頭,10.2
2014-04-09,2014,0.45869211771072316,0.4041175423293186,多頭,7.4
2014-04-10,2014,0.576553066493416,0.03453247058033959,多頭,2.5
2014-04-11,2014,0.5832813595456359,0.748311920117195,多頭,-2.1
2014-04-14,2014,0.5037974419605921,1.1233519467294117,多頭,3.4
2014-04-15,2014,0.5549029347885475,0.3223161906129146,多頭,2.0
2014-04-16,2014,0.5194465408967064,-1.6775327158100373,多頭,2.5
2014-04-17,2014,0.4852067175589777,-1.5032155059838015,多頭,3.7
2014-04-18,2014,0.4919234864011166,-1.0544617505291787,多頭,7.9
2014-04-21,2014,0.46265527825713404,-1.78467890861439,多頭,12.0
2014-04-22,2014,0.4674280568123275,-1.1965846250185153,多頭,15.1
2014-04-23,2014,0.45818465287566595,-0.9656221111721375,多頭,16.2
2014-04-24,2014,0.452370562127816,-0.3695733585230676,多頭,15.2
2014-04-25,2014,0.4024836356365841,1.3574010840972983,多頭,6.9
2014-04-28,2014,0.3940347431880228,1.3756411959076953,多頭,5.1
2014-04-29,2014,0.4590931891194613,0.1981490310647649,多頭,4.9
2014-04-30,2014,0.42751038979095846,0.19530361351496328,多頭,4.0
2014-05-02,2014,0.47969940142056205,-0.5568762602454758,多頭,6.7
2014-05-05,2014,0.5844200085723609,0.0533232323573829,多頭,4.8
2014-05-06,2014,0.5363193016065699,-0.35613342773375134,多頭,7.8
2014-05-07,2014,0.5601944957175359,-0.053636365680809206,多頭,5.7
2014-05-08,2014,0.592921884758274,-0.3471094738492164,多頭,7.8
2014-05-09,2014,0.5489377695733157,-0.021373073751729255,多頭,1.1
2014-05-12,2014,0.5556435551334752,0.6108795825902069,多頭,-6.3
2014-05-13,2014,0.47697984591829573,1.720243049964032,多頭,-7.6
2014-05-14,2014,0.4849492787728307,1.4992405770712702,多頭,-7.4
2014-05-15,2014,0.5037003577004128,1.7506601431201751,多頭,-11.1
2014-05-16,2014,0.517224354063217,1.877042678982277,多頭,-3.2
2014-05-19,2014,0.5071217837944163,2.4922751941032883,多頭,-4.9
2014-05-20,2014,0.5376459380442407,2.4889201927588145,多頭,-5.0
2014-05-21,2014,0.5600912380310958,2.408935708305404,多頭,-8.6
2014-05-22,2014,0.5842368764462569,1.7150094262528004,多頭,-5.2
